# Spin 1
# Original Fermi-level:     -3.45938 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
     -10.24898       0.00000       4.00000
     -10.23712       0.00000       4.00000
     -10.22527       0.00000       4.00000
     -10.21342       0.00000       4.00000
     -10.20156       0.00000       4.00000
     -10.18971       0.00000       4.00000
     -10.17785       0.00000       4.00000
     -10.16600       0.00000       4.00000
     -10.15415       0.00000       4.00000
     -10.14229       0.00000       4.00000
     -10.13044       0.00000       4.00000
     -10.11858       0.00000       4.00000
     -10.10673       0.00000       4.00000
     -10.09488       0.00000       4.00000
     -10.08302       0.00000       4.00000
     -10.07117       0.00000       4.00000
     -10.05931       0.00000       4.00000
     -10.04746       0.00000       4.00000
     -10.03560       0.00000       4.00000
     -10.02375       0.00000       4.00000
     -10.01190       0.00000       4.00000
     -10.00004       0.00000       4.00000
      -9.98819       0.00000       4.00000
      -9.97633       0.00000       4.00000
      -9.96448       0.00000       4.00000
      -9.95263       0.00000       4.00000
      -9.94077       0.00000       4.00000
      -9.92892       0.00000       4.00000
      -9.91706       0.00000       4.00000
      -9.90521       0.00000       4.00000
      -9.89336       0.00000       4.00000
      -9.88150       0.00000       4.00000
      -9.86965       0.00000       4.00000
      -9.85779       0.00000       4.00000
      -9.84594       0.00000       4.00000
      -9.83409       0.00000       4.00000
      -9.82223       0.00000       4.00000
      -9.81038       0.00000       4.00000
      -9.79852       0.00000       4.00000
      -9.78667       0.00000       4.00000
      -9.77482       0.00000       4.00000
      -9.76296       0.00000       4.00000
      -9.75111       0.00000       4.00000
      -9.73925       0.00000       4.00000
      -9.72740       0.00000       4.00000
      -9.71555       0.00000       4.00000
      -9.70369       0.00000       4.00000
      -9.69184       0.00000       4.00000
      -9.67998       0.00000       4.00000
      -9.66813       0.00000       4.00000
      -9.65627       0.00000       4.00000
      -9.64442       0.00000       4.00000
      -9.63257       0.00000       4.00000
      -9.62071       0.00000       4.00000
      -9.60886       0.00000       4.00000
      -9.59700       0.00000       4.00000
      -9.58515       0.00000       4.00000
      -9.57330       0.00000       4.00000
      -9.56144       0.00000       4.00000
      -9.54959       0.00000       4.00000
      -9.53773       0.00000       4.00000
      -9.52588       0.00000       4.00000
      -9.51403       0.00000       4.00000
      -9.50217       0.00000       4.00000
      -9.49032       0.00000       4.00000
      -9.47846       0.00000       4.00000
      -9.46661       0.00000       4.00000
      -9.45476       0.00000       4.00000
      -9.44290       0.00000       4.00000
      -9.43105       0.00000       4.00000
      -9.41919       0.00000       4.00000
      -9.40734       0.00000       4.00000
      -9.39549       0.00000       4.00000
      -9.38363       0.00000       4.00000
      -9.37178       0.00000       4.00000
      -9.35992       0.00000       4.00000
      -9.34807       0.00000       4.00000
      -9.33622       0.00000       4.00000
      -9.32436       0.00000       4.00000
      -9.31251       0.00000       4.00000
      -9.30065       0.00000       4.00000
      -9.28880       0.00000       4.00000
      -9.27695       0.00000       4.00000
      -9.26509       0.00000       4.00000
      -9.25324       0.00000       4.00000
      -9.24138       0.00000       4.00000
      -9.22953       0.00000       4.00000
      -9.21767       0.00000       4.00000
      -9.20582       0.00000       4.00000
      -9.19397       0.00000       4.00000
      -9.18211       0.00000       4.00000
      -9.17026       0.00000       4.00000
      -9.15840       0.00000       4.00000
      -9.14655       0.00000       4.00000
      -9.13470       0.00000       4.00000
      -9.12284       0.00000       4.00000
      -9.11099       0.00000       4.00000
      -9.09913       0.00000       4.00000
      -9.08728       0.00000       4.00000
      -9.07543       0.00000       4.00000
      -9.06357       0.00000       4.00000
      -9.05172       0.00000       4.00000
      -9.03986       0.00000       4.00000
      -9.02801       0.00000       4.00000
      -9.01616       0.00000       4.00000
      -9.00430       0.00000       4.00000
      -8.99245       0.00000       4.00000
      -8.98059       0.00000       4.00000
      -8.96874       0.00000       4.00000
      -8.95689       0.00000       4.00000
      -8.94503       0.00000       4.00000
      -8.93318       0.00000       4.00000
      -8.92132       0.00000       4.00000
      -8.90947       0.00000       4.00000
      -8.89762       0.00000       4.00000
      -8.88576       0.00000       4.00000
      -8.87391       0.00000       4.00000
      -8.86205       0.00000       4.00000
      -8.85020       0.00000       4.00000
      -8.83834       0.00000       4.00000
      -8.82649       0.00000       4.00000
      -8.81464       0.00000       4.00000
      -8.80278       0.00000       4.00000
      -8.79093       0.00000       4.00000
      -8.77907       0.00000       4.00000
      -8.76722       0.00000       4.00000
      -8.75537       0.00000       4.00000
      -8.74351       0.00000       4.00000
      -8.73166       0.00000       4.00000
      -8.71980       0.00000       4.00000
      -8.70795       0.00000       4.00000
      -8.69610       0.00000       4.00000
      -8.68424       0.00000       4.00000
      -8.67239       0.00000       4.00000
      -8.66053       0.00000       4.00000
      -8.64868       0.00000       4.00000
      -8.63683       0.00000       4.00000
      -8.62497       0.00000       4.00000
      -8.61312       0.00000       4.00000
      -8.60126       0.00000       4.00000
      -8.58941       0.00000       4.00000
      -8.57756       0.00000       4.00000
